# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.107654629275202751e-05
1.999999955296516418e-02,-6.215149187482893467e-05
3.500000014901161194e-02,-1.087608907255344093e-04
5.750000104308128357e-02,-1.786681823432445526e-04
9.125000238418579102e-02,-2.835137129295617342e-04
1.412499994039535522e-01,-4.388059896882623434e-04
1.912499964237213135e-01,-5.940565606579184532e-04
2.412499934434890747e-01,-7.492646109312772751e-04
2.912499904632568359e-01,-9.044292382895946503e-04
3.412500023841857910e-01,-1.059549278579652309e-03
3.912500143051147461e-01,-1.214623567648231983e-03
4.412499964237213135e-01,-1.369650708511471748e-03
4.912500083446502686e-01,-1.524629187770187855e-03
5.412499904632568359e-01,-1.679544453509151936e-03
5.912500023841857910e-01,-1.833550515584647655e-03
6.412500143051147461e-01,-1.987129449844360352e-03
6.912500262260437012e-01,-2.140285912901163101e-03
7.412499785423278809e-01,-2.293020254001021385e-03
7.912499904632568359e-01,-2.445333171635866165e-03
8.412500023841857910e-01,-2.597226761281490326e-03
8.912500143051147461e-01,-2.748705446720123291e-03
9.412500262260437012e-01,-2.899772953242063522e-03
9.912499785423278809e-01,-3.050430212169885635e-03
1.041249990463256836e+00,-3.200672799721360207e-03
