# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.443228140691644512e-06
1.999999955296516418e-02,-4.886451279162429273e-06
3.500000014901161194e-02,-8.551274731871671975e-06
5.750000104308128357e-02,-1.404848808306269348e-05
9.125000238418579102e-02,-2.229425626865122467e-05
1.412499994039535522e-01,-3.451009615673683584e-05
1.912499964237213135e-01,-4.672579598263837397e-05
2.412499934434890747e-01,-5.894135756534524262e-05
2.912499904632568359e-01,-7.115678454283624887e-05
3.412500023841857910e-01,-8.337206236319616437e-05
3.912500143051147461e-01,-9.558720921631902456e-05
4.412499964237213135e-01,-1.078022032743319869e-04
4.912500083446502686e-01,-1.200170590891502798e-04
5.412499904632568359e-01,-1.322317693848162889e-04
5.912500023841857910e-01,-1.444463414372876287e-04
6.412500143051147461e-01,-1.566607679706066847e-04
6.912500262260437012e-01,-1.688750344328582287e-04
7.412499785423278809e-01,-1.810891699278727174e-04
7.912499904632568359e-01,-1.933031453518196940e-04
8.412500023841857910e-01,-2.055169607046991587e-04
8.912500143051147461e-01,-2.177306450903415680e-04
9.412500262260437012e-01,-2.299441548530012369e-04
9.912499785423278809e-01,-2.421575336484238505e-04
1.041249990463256836e+00,-2.543707378208637238e-04
