# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-5.965949640085455030e-06
1.999999955296516418e-02,-1.193220396089600399e-05
3.500000014901161194e-02,-2.088214205286931247e-05
5.750000104308128357e-02,-3.430825017858296633e-05
9.125000238418579102e-02,-5.444996349979192019e-05
1.412499994039535522e-01,-8.429463923675939441e-05
1.912499964237213135e-01,-1.141445827670395374e-04
2.412499934434890747e-01,-1.439988118363544345e-04
2.912499904632568359e-01,-1.738562714308500290e-04
3.412500023841857910e-01,-2.037157828453928232e-04
3.912500143051147461e-01,-2.335760364076122642e-04
4.412499964237213135e-01,-2.634355623740702868e-04
4.912500083446502686e-01,-2.932927163783460855e-04
5.412499904632568359e-01,-3.231439623050391674e-04
5.662500262260437012e-01,-3.380138077773153782e-04
5.912500023841857910e-01,-3.528502129483968019e-04
6.162499785423278809e-01,-3.676695341710001230e-04
6.537500023841857910e-01,-3.898640861734747887e-04
7.037500143051147461e-01,-4.193897475488483906e-04
7.537500262260437012e-01,-4.488365084398537874e-04
8.037499785423278809e-01,-4.782008763868361712e-04
8.537499904632568359e-01,-5.074790678918361664e-04
9.037500023841857910e-01,-5.366665427573025227e-04
9.537500143051147461e-01,-5.657576257362961769e-04
1.003749966621398926e+00,-5.947445752099156380e-04
1.053750038146972656e+00,-6.236168555915355682e-04
