# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.202574458147864789e-05
1.999999955296516418e-02,-2.405156192253343761e-05
3.500000014901161194e-02,-4.209037797409109771e-05
5.750000104308128357e-02,-6.914863479323685169e-05
9.125000238418579102e-02,-1.097355925594456494e-04
1.412499994039535522e-01,-1.698617270449176431e-04
1.912499964237213135e-01,-2.299820625921711326e-04
2.412499934434890747e-01,-2.900936524383723736e-04
2.912499904632568359e-01,-3.501934697851538658e-04
3.412500023841857910e-01,-4.102785314898937941e-04
3.912500143051147461e-01,-4.703456943389028311e-04
4.412499964237213135e-01,-5.303915822878479958e-04
4.912500083446502686e-01,-5.904104909859597683e-04
5.412499904632568359e-01,-6.503835320472717285e-04
5.912500023841857910e-01,-7.103716488927602768e-04
6.412500143051147461e-01,-7.702338043600320816e-04
6.912500262260437012e-01,-8.301921188831329346e-04
7.412499785423278809e-01,-8.900436223484575748e-04
7.912499904632568359e-01,-9.498680010437965393e-04
8.412500023841857910e-01,-1.009535393677651882e-03
8.912500143051147461e-01,-1.060766284354031086e-03
9.037500023841857910e-01,-1.069199293851852417e-03
9.162499904632568359e-01,-1.077105407603085041e-03
9.350000023841857910e-01,-1.088113407604396343e-03
9.420312643051147461e-01,-1.094111008569598198e-03
9.446679949760437012e-01,-1.097631640732288361e-03
9.486230611801147461e-01,-1.103718648664653301e-03
9.501062035560607910e-01,-1.108509255573153496e-03
9.506623744964599609e-01,-1.112344558350741863e-03
9.514966607093811035e-01,-1.118637155741453171e-03
9.518095254898071289e-01,-1.121757552027702332e-03
9.522787928581237793e-01,-1.125941518694162369e-03
9.529827237129211426e-01,-1.131496508605778217e-03
9.540385603904724121e-01,-1.138938707299530506e-03
9.556224346160888672e-01,-1.148834708146750927e-03
