# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.639929541852325201e-04
1.999999955296516418e-02,-3.279751108493655920e-04
3.500000014901161194e-02,-5.739274201914668083e-04
5.750000104308128357e-02,-9.428067714907228947e-04
9.125000238418579102e-02,-1.496008713729679585e-03
1.412499994039535522e-01,-2.315285149961709976e-03
1.912499964237213135e-01,-3.134186146780848503e-03
2.412499934434890747e-01,-3.952664323151111603e-03
2.912499904632568359e-01,-4.770664963871240616e-03
3.412500023841857910e-01,-5.588123109191656113e-03
3.912500143051147461e-01,-6.404959131032228470e-03
4.412499964237213135e-01,-7.221060339361429214e-03
4.912500083446502686e-01,-8.036001585423946381e-03
5.037500262260437012e-01,-8.238417096436023712e-03
5.224999785423278809e-01,-8.535090833902359009e-03
5.506250262260437012e-01,-8.973081596195697784e-03
5.928124785423278809e-01,-9.620783850550651550e-03
6.428124904632568359e-01,-1.037280913442373276e-02
6.928125023841857910e-01,-1.110649574548006058e-02
7.428125143051147461e-01,-1.181820407509803772e-02
7.928125262260437012e-01,-1.249038893729448318e-02
8.428124785423278809e-01,-1.307831890881061554e-02
8.928124904632568359e-01,-1.358741242438554764e-02
9.428125023841857910e-01,-1.405594963580369949e-02
9.928125143051147461e-01,-1.449791155755519867e-02
1.042812466621398926e+00,-1.491780951619148254e-02
1.092812538146972656e+00,-1.531860325485467911e-02
